Date,,Volume,Open,High,Low
5/2/17,,171411,1257.4,1258.8,1252.6
5/3/17,,245496,1257.8,1257.8,1236.4
5/4/17,,305881,1238.5,1241.7,1225.7
5/5/17,,257019,1228.5,1236,1226.2
5/8/17,,188318,1223.1,1236.9,1221
5/9/17,,240063,1226.6,1228.7,1214.3
5/10/17,,185804,1222.1,1225.8,1217.5
5/11/17,,230075,1219.2,1227.7,1216.9
5/12/17,,189500,1225,1231.6,1224.4
5/15/17,,182239,1228.3,1237.4,1226.8
5/16/17,,197131,1230.8,1239.1,1230
5/17/17,,365967,1237.2,1261.5,1236.3
5/18/17,,361421,1261.4,1265,1245.7
5/19/17,,210569,1246.8,1256.4,1246.1
5/22/17,,201829,1257.5,1262.6,1251.6
5/23/17,,269982,1260.4,1263.8,1250.5
5/24/17,,234075,1251.1,1258.8,1247.6
5/25/17,,62975,1261.6,1262.8,1256.9
5/26/17,,14102,1258.6,1272.7,1269.4
5/30/17,,275724,1270.1,1273.4,1261.8
5/31/17,,193527,1265.7,1276.8,1262
6/1/17,,174611,1271.6,1272.8,1263.7
6/2/17,,257594,1268,1282.2,1261.3
6/5/17,,134854,1282.6,1286,1280.2
6/6/17,,243052,1282.5,1298.8,1282.1
6/7/17,,212480,1297,1297.6,1285
6/8/17,,247460,1289.5,1291.5,1273.5
6/9/17,,212190,1283.5,1284.6,1266.7
6/12/17,,168475,1269.7,1272.4,1265.6
6/13/17,,171164,1267.7,1271,1260.5
6/14/17,,337298,1268.4,1284.2,1259
6/15/17,,238470,1262.7,1268.5,1252.7
6/16/17,,145249,1255.6,1258.6,1253.2
6/19/17,,174183,1255.8,1257.3,1244.3
6/20/17,,172002,1245.4,1249.4,1242.4
6/21/17,,160236,1243.9,1248.8,1241.7
6/22/17,,182170,1246.4,1256,1246.4
6/23/17,,153529,1250.9,1260,1250.6
6/26/17,,219105,1258.1,1259,1236.5
6/27/17,,204721,1245.2,1253.8,1241.8
6/28/17,,188119,1247.3,1255.7,1246.7
6/29/17,,260590,1249.6,1253.2,1239.7
6/30/17,,210097,1245.2,1248.2,1239
7/3/17,,26906,1220.1,1224.6,1220
7/5/17,,348799,1223,1228.4,1216.5
7/6/17,,185809,1226.5,1229.5,1221.8
7/7/17,,310483,1224.6,1228.1,1206.6
7/10/17,,233437,1212.1,1215,1204
7/11/17,,213121,1213.8,1217.1,1207.4
7/12/17,,254172,1216.5,1225.2,1212.5
7/13/17,,219900,1219.2,1223.6,1215.6
7/14/17,,258301,1216.4,1232.7,1214
7/17/17,,166096,1228.7,1235.4,1227.5
7/18/17,,245241,1233.3,1244.1,1232.2
7/19/17,,189980,1242,1243.5,1235.1
7/20/17,,263291,1240.6,1247.2,1234.6
7/21/17,,51035,1250.8,1262.1,1249.5
7/24/17,,61616,1261.4,1265.1,1258.1
7/25/17,,61360,1261.9,1264.2,1255.1
7/26/17,,92181,1256.2,1269.8,1249.4
7/27/17,,154412,1266.8,1271.3,1260.3
7/28/17,,241286,1265,1277,1263.2
7/31/17,,158464,1276.3,1277.3,1271.7
8/1/17,,206396,1275.6,1280.3,1268.4
8/2/17,,204629,1275.2,1279,1268.9
8/3/17,,198615,1272.6,1277,1262.9
8/4/17,,260834,1275.3,1276.5,1259.8
8/7/17,,120039,1264.3,1265.6,1261.3
8/8/17,,240864,1262.9,1271,1257.1
8/9/17,,280929,1266.1,1284.7,1265.9
8/10/17,,257651,1283.2,1293.8,1280.3
8/11/17,,259307,1292.5,1298.1,1286.7
8/14/17,,233106,1296.4,1296.4,1284.2
8/15/17,,278698,1287,1287.7,1272.7
8/16/17,,268454,1276.9,1289.5,1273.2
8/17/17,,316050,1290,1296,1286.4
8/18/17,,379352,1293.8,1306.9,1289.1
8/21/17,,254319,1289.1,1299.7,1286.2
8/22/17,,259806,1297.1,1298.1,1287
8/23/17,,226744,1290.4,1297,1287.9
8/24/17,,237998,1296,1296.8,1289.3
8/25/17,,350288,1291.3,1301.4,1281.3
8/28/17,,310489,1297.6,1317.8,1297
8/29/17,,444146,1320.5,1331.9,1310.6
8/30/17,,301091,1314.8,1319.3,1310.1
8/31/17,,359132,1314.1,1329,1302.3
9/1/17,,52922,1339.7,1343.5,1330.4
9/5/17,,546280,1339.8,1349.7,1331.1
9/6/17,,297521,1345,1347.7,1336.4
9/7/17,,354009,1339,1355.5,1337.2
9/8/17,,377234,1354,1362.4,1347.1
9/11/17,,292049,1341.5,1344.6,1330.6
9/12/17,,281134,1331.7,1336.3,1326.7
9/13/17,,298024,1336.2,1340.5,1324.5
9/14/17,,327600,1327.6,1334.9,1319.5
9/15/17,,313245,1333.7,1338.2,1323
9/18/17,,259701,1324,1324,1308.1
9/19/17,,268037,1310.5,1315.3,1308.7
9/20/17,,343639,1314.7,1319.8,1299.5
9/21/17,,388118,1304.8,1305,1291.2
9/22/17,,256421,1294.1,1301.9,1294.1
9/25/17,,357294,1301.5,1315.8,1291.7
9/26/17,,376702,1314.2,1317.1,1295
9/27/17,,364084,1297.3,1299.2,1284.1
9/28/17,,279916,1285.1,1291.6,1280.4
9/29/17,,280671,1290.1,1293.2,1278.2
